"","title","author","date","views","likes","link","sentiment","topics"
"130","A vision for sustainable energy in Africa","Chibeze Ezekiel","October 2021",221000,6600,"https://ted.com/talks/chibeze_ezekiel_a_vision_for_sustainable_energy_in_africa",0.0298642533936652,"climate change, africa, energy, countdown, sustainability, environment"
"131","How your brain invents your ""self""","Anil Seth","October 2021",1500000,47000,"https://ted.com/talks/anil_seth_how_your_brain_invents_your_self",0.0313333333333333,"cognitive science, brain, neuroscience, science, consciousness"
"132","Why better sleep means a better sex life","Matt Walker","November 2021",463000,13000,"https://ted.com/talks/matt_walker_why_better_sleep_means_a_better_sex_life",0.0280777537796976,"sleep, science, sex, health"
"133","Why do some people snore so loudly?","Alayna Vaughan","November 2021",406000,12000,"https://ted.com/talks/alayna_vaughan_why_do_some_people_snore_so_loudly",0.0295566502463054,", animation, education, brain, sleep, health, science, biology"
"134","How small countries can make a big impact on climate change","Nicola Sturgeon","October 2021",1200000,38000,"https://ted.com/talks/nicola_sturgeon_how_small_countries_can_make_a_big_impact_on_climate_change",0.0316666666666667,"climate change, leadership, sustainability, global issues, countdown"
"135","How did we get fertility so wrong?","Mona Chalabi","November 2021",276000,8200,"https://ted.com/talks/mona_chalabi_how_did_we_get_fertility_so_wrong",0.0297101449275362,"health, gender, health care, statistics, medical research, women"
"136","What working parents really need from workplaces","Angela Garbes","November 2021",1200000,36000,"https://ted.com/talks/angela_garbes_what_working_parents_really_need_from_workplaces",0.03,"business, work, work life balance, parenting"
"137","The creative power of your intuition","Bozoma Saint John","August 2021",1400000,42000,"https://ted.com/talks/bozoma_saint_john_the_creative_power_of_your_intuition",0.03,"motivation, personal growth, data, creativity, self, business, leadership"
"138","Are locust plagues unstoppable?","Jeffrey A. Lockwood","November 2021",475000,14000,"https://ted.com/talks/jeffrey_a_lockwood_are_locust_plagues_unstoppable",0.0294736842105263,"education, biology, , insects, farming, animation, agriculture, science"
"139","A tailored history of who wears what — and why","Richard Thompson Ford","September 2021",1300000,39000,"https://ted.com/talks/richard_thompson_ford_a_tailored_history_of_who_wears_what_and_why",0.03,"design, social change, society, fashion, history, culture"
"140","The problem of vaccine spoilage — and a smart sensor to help","Nithya Ramanathan","August 2021",1400000,42000,"https://ted.com/talks/nithya_ramanathan_the_problem_of_vaccine_spoilage_and_a_smart_sensor_to_help",0.03,"vaccines, medicine, community, humanity"
